末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
sirius_flower,看过,有点感人 贝托鲁奇优雅的节奏下故事慢慢展开 很简单的主叙述穿插闪回但配上音乐和表演就特别沉稳 不慌不慢 看了加长版完全没有感觉 真的东西看起来就是很不一样，真的故宫真的伪皇宫，摄影术是不会骗人的，年代的质感全在那里; 另外这部片子虽是拍的二十世纪上半页却透着浓浓的八十年代气息 甚是精彩,2016-04-17 14:50:01,allstar50 rating,3
熊仔俠,看过,218分鐘算不上盪氣迴腸的西方人視覺，但是看到最後依舊感動。坂本龍一在電影中依舊克制。,2010-11-16 22:37:39,allstar40 rating,2
菲尼,看过,溥仪送老师回国时演奏的“友谊地久天长”居然听哭了😭半辈子禁锢在宫墙内，微笑着走出紫禁城时不会想到又要进入另一个牢笼吧，真是好孤独的人生啊……最后尊龙先生好绝，爱宁😘,2019-09-04 11:47:48,allstar50 rating,5
风雨骑老师,看过,重看210分钟导演剪辑版，多了很多溥仪幼年生活的琐碎事宜，以及在劳改营的审讯细节。这个世界最好的电影之一，一个见证了中国近现代史，却一辈子从来没走出过“门”的人，配乐，表演和服化道顶级水准，神一般的摄影和打光，拍出了一个笼罩在残阳之下又被高墙遮蔽了阴影的帝国。结尾更是妙不可言。蝈蝈终于爬出了笼子，千秋大业，雕梁画栋，如梦似幻。,2018-12-02 16:38:00,allstar50 rating,4
南洲.,看过,"我们怎能说再见,
就像我们说您好。 
                                 《末代皇帝》",2016-08-07 22:10:47,allstar50 rating,4
诱导师,看过,叔本华说：“倘若一个人着眼于整体而非一己的命运，他的行为就会更像是一个智者而非一个受难者了。”爱新觉罗·溥仪并不是一位生活中的强者，他的一生也许也并不那么光彩和传奇，但他一定会并且已经在历史上留下了属于自己篇章。在巨变的世界中，不变的只有时间流逝的速度。流逝的不是历史，而是我们。,2016-10-27 20:13:43,allstar50 rating,5
柴斯卡,看过,中间有几段服务向的有点出戏啊 别的还好 很工整的命题作文了 一些很普通的桥段 因为放在这个情境下 而显得非常整齐 就是觉得没有小时候看那么宏伟了,2017-10-04,comment-time ,6
生人回避,看过,贝托鲁奇对中国历史的掌握程度，是我心中最能驾驭三体1的海外导演，没有之一！,2019-02-24 14:41:00,allstar50 rating,1
Pluto&Piaget,看过,没有任何一扇门为他打开。封建制度的荒谬、中国近现代史的诡魅凄绝全在一个人身上浓缩了，就得出这么一出悲剧来。画面真是牛逼啊，各色织物穿起了全片，倾耳一听，全是寂寞的虫鸣声。九百六十万平方公里上，偏偏三尺王座最荒凉。总能用几个镜头就留白着拓写出一生：陈冲从盈盈新婚时，到最后化成一片黑色的落叶；尊龙变成了一个影子，先失魂，然后才落魄。最后，能把故宫如此借出的那个年代，真是好年头。,2019-02-03 19:48:13,allstar50 rating,3
豆瓣天后董小姐,看过,有木有人觉着审问溥仪的人长的像东方红啊！,2012-07-12 12:31:06,allstar40 rating,17
孤岛影者,看过,“——How can we say goodbye?”“——As we said hello.”略违和但不可否认，这就是史诗，这就是经典！贝托鲁奇就这么拍出了末代皇帝那悲催却又可称幸运的一生，全片宏伟而忧伤，却如此工整，如此唯美！观众感受在历史浩瀚长河下是怎样的渺小。奥斯卡九提九中不是吹的，其中坂本龙一配乐神上加神。最后，蟋蟀终于获得自由！泪落！！！,2018-12-04 21:44:31,allstar50 rating,2
paracelsus,看过,用光的变化与内心世界 造型隐谕 Freudian scene,2007-10-28 17:59:58,allstar40 rating,2
游在倒淌河,看过,看到溥仪在1967年去世 松了一口气，也算少受了十年磨难。,2017-06-28 20:10:41,allstar50 rating,10
然犀,看过,空荡无力的一生,2009-03-27 20:12:06,allstar50 rating,12
宋乐天,看过,鸿篇巨制，神剪辑啊,2017-12-24 21:43:00,allstar50 rating,12
躲猫猫社社长,看过,他妈的太好了！拍满清近现代的中国艺术成就最高的电影（是的，超越所有中国人自己拍的，因为中国人并不理解自己的历史，自然拍不出）。在长时间内不可能有超越。（我对影片当中的英文的理解是一种heightened court language，有很强的舞台戏剧性，同《战争与和平的》中的法语类似,2018-09-02 02:00:39,allstar50 rating,2
LEMON酱,看过,电影时间很长，但每一分钟都有意义，很值得看。,2016-09-02 09:10:19,allstar50 rating,13
南冠君子朔风前,看过,因为是溥仪，所以对天朝人来说，只要看，就带着一种说不清楚的情感，看完之后，一定深有感触。但是，本片其实拍的很烂，只是一种外国人看天朝的视角，根本什么都看不明白，而我们的感想，都是自己脑补的。。。。,2014-01-15 18:52:33,allstar10 rating,4
Yuyii,看过,这样的片儿，居然是外国人拍的~不免心生唏嘘。,2014-07-20 00:36:21,allstar40 rating,8
Chambord,看过,片中许多迎合西方观众的夸张演出和科普性台词令人不耐；但看到最后一幕，溥仪在太和殿上羽化消失，空余捧着蛐蛐罐的孩子，我忽然哭了起来。,2019-10-23 15:18:48,allstar40 rating,2
判官,看过,第一次看时听到英文对白感觉很出戏，因为蝴蝶君着了尊龙的迷，还有坂本教授。看完惊异于其历史还原，巨作无疑，最厉害的是贝托鲁奇每部片风格都迥异啊，，，，牛逼。,2016-06-26 00:16:14,allstar50 rating,2
[已注销],看过,那句open the door一而再地印证了他无法冲破命运与历史的无奈宿命。爱贝托鲁奇接得天衣无缝的双线叙事，爱坂本龙一的音乐，爱尊龙丝丝入扣的表演。即使紫禁城里起伏着各种发音奇异的英格丽事，仍毫不影响这三个半小时的五颗红星。另，陈冲在任何影片里都让没我失望过。下次重温一定看蓝光版,2011-10-22 22:02:35,allstar50 rating,3
老咪,看过,情节和道具认真考据，20世纪新旧冲突展现得尤为突出。贝托鲁奇掌握的不仅是历史本身而是历史带有讽刺感的循环往复的脉络（从片头抬出溥仪到片尾66年抬出另一个皇帝）、抛开政治意识形态的一群人被时代掏空后或逐渐凋谢或被重塑的的回忆录和人与命运抗争的永恒的希腊悲剧，表现手法灵活呈现了更多潜台词,2017-06-25 16:42:04,allstar40 rating,5
如小果,看过,最后一个坐拥天下的天子，却是天下唯一没有自由的人。,2012-07-23 17:18:59,allstar50 rating,5
梦里诗书,看过,一名外国导演以极为为客观近乎真实的手法还原了中国《末代皇帝》的一生，纷繁杂乱的时代洪流亦然是电影最好的张力所在，若诗般唯美的镜头下溥仪跌宕起伏的传奇经历，却道尽了个人无法左右命运的悲凉与沧桑，历史的厚重皆于此淋漓尽致。,2015-05-05 20:39:44,allstar50 rating,4
judy,看过,從一個監獄到另一個監獄，打不開的門，號稱是九五至尊，但其實一直都只能當別人戲台上的扯線木偶。Bertolucci用外來的客觀角度拍成了，悲涼的歷史。尊龍陳沖演得出色。Peter O'Toole即使只是作配，依然熠熠發光,2009-03-10 13:34:21,allstar50 rating,3
浮云叫了一整天,看过,"5.0  @加长版
过于出色。回忆与过去构成双线，轻巧叙事，艺术感技巧增强的同时，也兼顾电影本身灵动性与观赏性，避免可能存在的传记单一性强而导致的文本生硬问题。与其说追寻，倒不如说追求，奶妈阿毛，皇后婉蓉，被迫的时代与溥仪间的迷墙，即便有回天乏术也无济于事，终沦囚徒。名唤蝴蝶，草蜢越衣，动物意象似乎代表就于溥仪本身极致的伤。婉蓉与文绣，一烟楼一雨中，均为抛弃之命，被男权和情爱所支配，身份流亡，如似张爱玲笔下的怨女，红玫瑰与白玫瑰。坂本龙一的配乐，灵且不乱，暗流涌动中显悲凉特性，即便不观此影，亦能深受感动，于音乐中缓缓流泪。溥仪，婉蓉，文绣，皆无错，错就错在他们生错了地，生错了时代，无法避免雨打萍身世浮沉之命。PS语言没有违和感，大陆电影人拍不出这样的史诗。",2020-08-10 04:23:33,allstar50 rating,2
[已注销],看过,219min，确实是前无古人后无来者，配乐先于表演，表演极具张力，双J组合可以说是个人心水演员了，无论是作品的态度还是gov.的态度都是一个无法逾越的顶峰。贯穿全片的“Open the door”被赋予了更多的意义，超越了“I wanna be free”的直白，也不在于批判所谓的“escape from reality ”，而是驱散眼前蒙蔽自己的一切，因为天将降大任于斯人也，虽然放在1908年的当时不是什么好差事，但位高权重者总有不可避免的悲剧性的一面。他终于活得通透了明白了，可惜最后又被小将们整糊涂了。这一生可谓“浮浮沉沉，半梦半醒”。,2019-05-27 21:05:47,allstar50 rating,3
鲁曼,看过,009：选到溥仪的视角看历史，就已经是五星选题了。我们的教科书教会我们“正确”地看待历史，也只是框定了我们观察历史的视角，让人忽视了那些“坏人”“阶级”“分子”在历史的洪流中，首先是一个人。,2019-01-19 21:37:01,allstar50 rating,4
Andrew,看过,一群中国面孔全片操着英文对话实在违和；结尾文革时候溥仪看到红卫兵扛着毛主席大头像路过那段活脱就是旧皇帝见证着新“皇帝”的盛大游行。,2018-01-15 22:56:25,allstar40 rating,4
咆哮李,看过,沉重压抑的历史！！意大利人导演，英语片，中国的末代皇帝一生，奥斯卡最佳影片。不过光绪才是真正意义上的末代皇帝吧。溥仪这个人物哀其不幸，怒其不争！懦弱而又自私！光绪则是自责中不敢反抗，危乱中尚思救国。如果能拍光绪传能够挖掘的也很多啊,2012-11-11 18:47:31,allstar50 rating,3
Piglette,看过,一生承载了如此多的大起大落，见证了最剧烈的历史变迁，不知是幸还是不幸。外国导演把镜头控制得冷静而不落痕迹，加之人物故事本身的张力和中国几位演员精湛的演技，成就一部史诗佳作。,2014-11-17 08:50:53,allstar40 rating,1
瑞波恩,看过,一名意大利导演可以拍出如此中国的作品，甚至历史精确到如此地步，不得不说是一个时代和天才的天作之合。,2016-12-11 21:53:03,allstar50 rating,6
肉蟹煲鸡爪杀手,看过,"他的一生中有过亲情 有过爱情 有过权力 有过理想   
唯独没有过自由

前半生他走不出大门紧闭的紫禁城 后半生他走不出自己心里的紫禁城


最终 蟋蟀爬出困其一生的笼子 在阳光下闪着点点金光 一如生命本该有的颜色





我们都是历史长河中的一粒沙 
有的沙子无所适从 只能随着浪花起起伏伏 
有的沙子棱角分明 坚持不懈地反抗 于是被波浪冲刷的逐渐圆润
有的沙子十分幸运 激流一不小心将它冲到了岸上 它从此不再为长河所支配

有的沙子则终其一生都被深埋在六尺之下 永远见不到阳光



沙子能怎么办呢 它们生来只是沙子罢了





20190707：身为一部电影 觉得已经不能更好了",2019-05-31,comment-time ,2
宽松睡裤又如何,看过,身边的人终将离你远去，荣耀，骄傲，历史也都会。最终溥仪在新中国成为了一个花匠，当他用铁丝把植物摆弄成他想要的形状，我觉得是他对其一生的点解。,2018-12-25 20:26:49,allstar50 rating,5
子龙,看过,我觉得这是每个中国人都应该看的一部电影：你所处的时代之前，是大清帝国，它的最后一位皇帝，也是中国的最后一位皇帝，即使在新中国成立后也还健在。溥仪，一个被时代左右的人，回天无力，却是一个历史的见证者。这部电影让内地所有的清宫剧黯然失色，甄嬛传与其相比，亦是小巫见大巫了。,2013-04-11 22:01:27,allstar50 rating,3
#𝙰zeril#,看过,这部电影称得上是时代所能成就的无法再还原的史诗 是贝托鲁奇献给中国的礼物。壮丽恢宏 也幽暗而深沉。中国历史上最后一个皇帝 那种为命运所左右的悲情人生 被尊龙演绎得恰到好处 而更为重要的是对于变幻时代的描摹 于后来人也得以窥见以往历史之一斑。镜头与音乐都极好。对于一部长片来说 节奏颇好 浑然一体 毫无滞闷 又张力十足。,2019-07-12 16:40:29,allstar50 rating,2
昭和惊弓鸟,看过,218分钟原版真是永远的史诗巨作，内到音乐表演观感，外到画面取景都达到了难以逾越的高峰。溥仪就是历史洪流当中难以摆脱禁锢的小人物，导演选择的角度很独到，时代感沧桑又悲凉，结尾尤为经典。其实中国从来都存在着皇帝，以前是，现在，也许还是。,2015-07-01 18:40:57,allstar50 rating,2
June Witt,看过,镜头很美，能理解导演想把溥仪拍的人性化一些，但是这片政治斗争太少了以至于有点美化溥仪丑化国民党共产党等“迫害”溥仪的人的嫌疑。看片过程中拼命使用外国视角来看，算是懂了一点导演拍得这么奇幻的原因，不过我脑海里的历史知识总是把我拽回到一个吐槽役的位置上。,2018-07-23 04:28:23,allstar40 rating,2
Wallys,看过,巨幕廳revisit。從前從前，遠得要命的王國裡有一座看不見的城堡，城堡裡唯一看得到的男性是個小國王，小國王坐擁華麗腐朽的馬戲團，有一天，才發覺舞台上只剩下他一個人，一個人耍整個王國看的秀。國王決定長大，長大就是換另一個舞台、跑另一齣戲，他以為他是主角，所有其他演員吸阿芙蓉、吃花、腦殼開出血花，就是不讓他再唱下去。他把戲本拿到批波蕊趴餔立刻喔福拆那面試，對方氣著罵他說童話裡都是騙人的，你不可能是清清白白的國王，也許你不會懂，從你下舞台以後，我的天空星星都亮了。多少年後大街上馬戲照跑舞台照亮，但是早就沒有他的戲分了。最後他回到了大家都看的見的城堡，成為裡面唯一看不到的人。這個王國變得很近，近得要命。,2020-05-06,comment-time ,2
杨三疯,看过,从万人之上到万人之下再到平头百姓间，一个帝王的人生不过是被时代裹挟的佐证。哪有什么力挽狂澜，哪有什么伟大盛名，都不过是历史选中的结果。,2017-07-25 12:52:23,allstar50 rating,3
bocow,看过,因为邬君梅的一篇专访，好奇地稳翻呢部同我差唔多年纪噶奥斯卡大片来睇。一直很好奇外国人来拍一部对于中国人意义非凡噶传记，效果会如何。不得不佩服电影里各种布局谋篇，演员噶用心，短短2个半钟，外国人眼中的那段历史，历历在目。经典就是历经岁月洗礼后依然能散发光芒。,2012-07-26 23:07:13,allstar50 rating,1
L'automne,看过,每一任溥仪都好可爱好传神，尊龙美哭！但是外国导演拍中国，将中国和东方文化拍成了一个宏大的意象。尤其是开头小溥仪洗澡的那场戏，充满写意的兴味。,2015-04-12 23:23:54,allstar50 rating,3
沙力兔,看过,意大利人拍中国 缥缈的梦幻的 光影交错 一只脚跨进现代 一只脚还不愿离开王朝 也只是所谓的王朝罢了 满屋的人等着老佛爷仙逝 荷塘微风拂过 外面的世界早已换了好几道 陈冲美得像一朵雾中玫瑰 一尾抓不住的银鱼 坂本龙一用眼神演着沉默寡言的日本将士 溥仪要复国 当妃子要离开他 妻子不理解他 中国弃了他 国民党挖了他的祖坟 连宫中的人都只想着为自己捞好处——没有人信得过了 结局很意大利也很聊斋 浓浓的符号意义（坂本龙一和尊龙手牵手上台领奖那个gif好可爱（读着李碧华的川岛芳子 忽然想起那个恨中国人的要开飞机的不羁短发女孩...就是她啊,2019-10-18 13:21:37,allstar50 rating,1
谋杀游戏机,看过,贝托鲁奇的共产主义与精神分析情结，意大利新现实主义自反，忠于生活原状，拒绝给出完美结局。隐喻与摄影机突显，疏离与认知，女性化溥仪，艺术美感多于历史写实。/2019重看,2010-01-28 18:24:34,allstar50 rating,2
Morning,看过,溥仪一辈子到过的空间很少，但时间很长，电影这方面做得很用心，最喜欢的是溥仪骑着单车来到城门，看着紫禁城外陌生的人流，关门的一刹那是有科幻意义的。溥仪的逃避是很有意思的，在得知皇帝“没有了”的时候和妈妈死了要回家的时候，都爬到了屋顶之上。整个皇宫内的戏都很好看，有一种古朴的肃穆之感，但出去之后尊龙和陈冲的表演要更好。最不喜欢的是川岛芳子，整个人物和演员的表演都十分之怪。,2018-12-05 09:04:17,allstar40 rating,2
姚瑶,看过,上世纪公众视野中最悲惨的人。过去一百年的中国有多沧桑，他的心大抵也有多沧桑。,2014-05-11 17:03:13,allstar40 rating,10
诸葛若见,看过,重温本片。视角独特，客观而不偏颇，镜头唯美，贝托鲁奇在故宫实景拍摄，大气且史诗感强烈。配乐空灵，坂本龙一的音乐独具魅力。最好的关于清末民初的电影，反而是意大利人拍的。溥仪的跌宕人生，在帝国最后的余晖下开启。如笼中鸟，他的一生，都在渴望自由。少年时代，是希望从紫禁城出走，到欧洲留学。中年时代，是希望从满洲的禁闭，逃脱出来。他是寂寞的，唯一朋友只有弟弟。他是悲剧的，进入自己曾经的家还要买票。宿命感太强。,2014-02-15 20:01:03,allstar40 rating,1
illusion不忘记,看过,他只是在错误的时间出生在了错误的地点，从此一生皆长叹。真的庆幸贝托鲁奇在那个年代拍摄了这样一部电影，广角，自然光，配乐，一座最原汁原味的紫禁城于是得以在银幕上留存，这事儿换做现在，怕是怎么都成不了了。,2018-05-06 22:38:53,allstar50 rating,3
帕拉,看过,全方位的顶级大作。,2018-04-30 18:19:17,allstar50 rating,10
粉粿爵士,看过,非常优秀的记录电影，把那个时代的故事不偏不倚的拍下来。陈冲哭着吃花，颤抖着拿起酒杯祝溥仪万岁那里真的美炸了。,2018-08-31 17:24:03,allstar50 rating,3
密言,看过,"近乎全英文对白看着很不舒服，尤其在紫禁城，但是当时自己拍不出来有什么办法呢？
两次“open the door”一次被当做皇帝，关门人毕恭毕敬，一次被当做傀儡，关门人趾高气昂，哦不，不是人。
最后溥仪走向龙椅，拿出多年前的小蟋蟀。小孩子打开笼子，蟋蟀仍在，而龙椅已空。",2019-06-23 14:21:01,allstar50 rating,2
Karo,看过,展现溥仪的一生，也是中国近现代的动荡。两次狂奔，两次要开门，为了生命中的两个女人。配乐摄影绝佳。溥仪四个阶段口音不一样算个瑕疵，陈冲前半段略显浮夸但后1/3惊艳，尊龙很牛。整部电影拍得很细致，背景语音都顾及到。故宫本身所拥有的厚重真不是任何地方能替代的。有些人吐词略僵硬，但可以理解,2014-03-08 22:56:32,allstar50 rating,2
路爷,看过,对于皇帝个人来说，无法支配自己的命运，无疑是个悲剧。然而，满清的皇帝终究不是也不能是中国的皇帝。另一方面，以汉族为主体的华夏民族，也早已失去了龙的象征。共的新中国迎来了新时代，却还未找回失去的华夏精神。文革的悲剧，无疑是明证。当溥仪看着被八人带着的毛主席像，是否会想起从前的自己？,2011-09-29 22:18:27,allstar20 rating,2
无题,看过,没想到外国导演拍中国的故事，还蛮好看，尊龙、陈冲、邬君梅都是实力演技派，溥仪的一生，感慨良多！,2018-06-05 13:16:06,allstar50 rating,5
高大玉,看过,"我曾经在长春伪满皇宫，用导览器，听溥仪的生平，不胜唏嘘。后来攒下一些好奇心，留意跟清末最后一位皇帝相关的资料，终于于昨晚看完这部巨作。没想到外国导演拍得作品，胜过我看过的所有清宫影视作品。无论是曾经的皇帝、皇后，还是妃子，他们的一生都被打上了禁锢的标签，被历史裹挟向前，唯有文秀得以突破，在那个年代，和前皇帝离婚，并在后来重新组建家庭孕育子女。
电影中呈现了红卫兵那个年代的集体批头活动，画面出现时，忍不住想，保持一个人清醒的状态，刀不架在脖子上，就不参加任何一个组织。

无论是想了解历史，还是想看故事，这部片子强烈推荐。",2018-12-04 15:21:10,allstar50 rating,5
路米內,看过,最让我困惑的是不知该听英语原声还是汉语配音。中文配音对不上嘴形，但是英文实在没那味道，特别是描绘咱伟大社会主义的时候，一点气势都没有！,2012-05-15 23:28:31,allstar40 rating,1
王神爱,看过,讲自己故事的片子，自己拍不出来，还得外国人拍，有点可悲啊,2017-03-11 23:53:38,allstar50 rating,4
鱼鹰,看过,尊龙演得挺好，这出乎我的意料。这其实不是纯粹的历史剧，很多象征性的符码，形式感，比如在狱中，审查者样板戏式的红脸蛋，溥仪生母眼妆上夸张的皱纹，老佛爷仿佛歌剧院开场的独白……很多地方像歌剧，西方人眼中的仪式感。它不太中国，但作为一种观望，挺有意思,2012-11-16 21:28:17,allstar40 rating,1
归安,看过,真实清宫剧，现在的有些剧是什么呀，末代皇帝的悲哀，时代潮流无法逆转，如果当初顺应时代发展，说不定像国外一样保留当历史,2018-07-16 17:59:46,allstar50 rating,4
灰糖,看过,每一个大人物，归根结底都是小人物。一个偶像倒下了，又会有新的偶像竖起来，比旧的偶像还可怕。这部片子能得到中国政府支持也是神奇。演员、配乐、摄影、叙事结构等等等等都好赞，可以再看许多遍。,2015-04-25 22:17:09,allstar50 rating,1
Fae,看过,"219分钟的史诗巨制。溥仪的一生本身就具有传奇的悲壮色彩，加之贝托鲁奇娓娓道来的叙事和细腻的镜头语言，近代中国几十年剧变与辛酸的历史在末代皇帝的视角之下展露无遗。
从始至终他的王位都只是他自己的一个幻想；拯救中国也只是他一个闭塞之人的执念这样一个人的悲剧给人带来的震动实在太大了。",2018-01-14 14:09:26,allstar50 rating,2
安非,看过,十几年前看的时候，还是小孩，纯粹瞎看。长大后再从新来看，感慨历史变迁。导演把整个宫廷气氛和宫廷人物塑造得阴阳怪气，不是很喜欢。前半部分整体感觉有失历史厚重感，后部分偏重情感。一个时代，一个时代都过去了，往事总是寂寞如烟。,2011-10-04 19:21:02,allstar50 rating,1
★☆☆☆☆,看过,（9/10）本片有3个半小时版和两个半小时版。每隔几年看这片的感觉都会有所不同并且评价更上一层楼。尊龙演技真的很好，不明白他为嘛就不够出名，看《尖峰时刻》时成龙都成他的陪衬了。英若诚和奥图等人也演得好。imdb这片不到8分，远低于2014版《马可波罗》，美国对东方文化的审美情趣让人无法理解……,2009-04-07 13:28:29,allstar50 rating,1
珠我好运,看过,"小时候他在紫禁城，门太高他出不去。
青年时他在伪满洲，门太高他出不去。
年老时他在北京城，安详度过属于自己的时光，再也不用当任何人的傀儡，他也许曾经是划过天空的流星，但终究只是时光里的一颗尘埃。",2019-05-13 18:12:41,allstar50 rating,1
你道姨,看过,不知道为什么 将近3个小时的电影 看着我喜欢的那个人付出了全部心血和一生的朝代苟延残喘和消失殆尽 没大想过溥仪或者历史的悲哀 只是一直在想他那么骄傲的人 如果看到了这些场景会怎么样,2011-06-26 22:06:37,allstar40 rating,0
Y.15,看过,一生都处于无力状态 不管是人上人的时候还是作为平民的时候 都属于最弱的群体 看的时候不免扼腕 为傀儡皇帝 也为时局 不知道导演作为外国人在拍的时候是什么感觉 背景音乐不知道后来被用过多少次 完全看不出是三十多年前的电影,2012-07-21 20:11:52,allstar50 rating,0
爱吃馒头的宝宝,看过,一部气势宏大、色彩浓郁、场面壮观，技巧精湛的史诗巨片。,2017-05-10 13:32:33,allstar50 rating,3
B仔,看过,一扇扇门，一个个离他而去的女人。溥仪这一生的戏剧性简直无法想象啊。结尾神，撤去背景音，剩下一整个太和殿的寂静，然后升起人声的嘈杂和绝了的导游扩音器自带醒神音乐——虽然是一个充满人文关怀的片子但这座城和它的主人都太魔幻。想回故宫看看。,2017-02-27 08:48:14,allstar40 rating,2
斯  琰 🌈,看过,神韵气质绝佳。以他者眼光回看挟裹在历史洪流中的个人史，亲近东方美学与重写史册的背后，是超脱宏大背景的对“人”的观照。传奇如斯，究其一生也未能叩开任何一扇大门，只不过眼睁睁看着一面面墙倒下。看完怅然若失。#北影节第九场#,2018-04-17 00:11:39,allstar50 rating,2
艾星星,看过,"超棒的配乐！
超棒的场景！此处说场景超棒并不是同“满城锦带黄金甲”相比，相反，对于后者笔者是报以深深深深深深的鄙视的。末代皇帝中的场景真实且华丽，说实话这是我看过的最棒的场景布置。
特别佩服这样一位能如此注重细节的导演，作为一名意大利人能把一部反应中国清末时期的电影拍的这么完美，实在是男人可贵！
唯一不满意的是陈冲，饰演的皇后本应该是受过西方教育，爱国，上进的青年人，却被她演的风尘味十足，失败啊！",2007-08-31 11:17:35,allstar40 rating,0
打地鼠。,看过,Open the door！,2015-07-25 08:55:01,allstar50 rating,4
风蚀蘑菇,看过,因为皇帝不是人，是神，所以培养皇帝的过程也是对人的异化过程。这个人也就成了一辈子总被囚禁，从一个监牢到另一个监牢的中国最孤独的人。最后的文革戏真是神来之笔，和之前民国游行戏对照非常讽刺。审问中很狂躁的人，扮相和毛一模一样，说没有影射我是不信的。尊龙真是太好看了，子役也都有皇帝相,2018-04-08 17:09:05,allstar40 rating,1
李不言,看过,相比历朝的末代君王，溥仪善终了，但也只是肉体上的，他精神上早已千疮百孔，他的失落远大于那些自尽或被杀的前辈，因为他活得太久了。他拥有一切，又失去一切；他试图改变，却只发现自己的无力；他渴望自由，但做了一辈子的囚徒。风云变幻的时代前，他永远懵懂无知，他被命运挟持了，就像我们每个人。,2017-11-29 02:00:16,allstar50 rating,1
windyisallin,看过,SIFF 4K 3D @ 上海世纪友谊，个人观影史的最高点。It's just a wall… Open the door!,2015-06-15 01:58:21,allstar50 rating,1
阿依达,看过,大家都把溥仪当符号，他从来不是独立的人，以至于后来他完全摒弃了“有用”。独立、自我价值、身不由己，是溥仪对生命意义的拷问，而他与《革命之路》男主，都是稍微看到病征却不敢改变的懦夫，只配谈论巴黎意淫。电影非常东方主义，叙述者也都很unreliable，比如Johnson，教英语的洋人写的传记，难免要把自己塑造成真正懂皇帝的、帮皇帝找寻自我、无私拯救中国的人，所以他笔下的皇帝的所谓自我和追求，是带着外国人看中国人的刻板印象和怜悯催生下的洋人价值观。而这种东方主义叙述又从电影本身有自觉的东方主义镜头里被二次东方化，在中国人看来就有些魔幻和异化了。溥仪眼中的自己和星星点点展现的文绣眼中的他完全不一样。人的意义与价值在历史洪流里被自己和他人随意书写，是荒唐的，但荒唐可能才是恒理，溥仪结尾也获得了独立。,2009-04-11 21:19:43,allstar50 rating,1
松萝,看过,三岁登基时，大臣给他一只蛐蛐，此生他都囚在牢笼里，出狱后回到故宫，蛐蛐终于从它的笼子里缓缓爬出，奔着他向往的自由，而回望昔人救他又改造他的人呢，却被装进新的套子里，像一个可怕的轮回。有人说他懦弱，其实他只是力量太渺小，不愿被历史洪流碾为齑粉，就得同流合污，换成别人，一样无能为力。,2016-07-03 13:30:42,allstar50 rating,4
豆瓣路人己,看过,满分的电影，之所以打四星是因为受不了影片里面个个专八的英语水平、近期很喜欢看各种外国人拍的传记类电影，很真实，这是中国人永远拍不出来的。一味的去迎合某个事物，反而物极必反。如果说这部电影是讲述了溥仪的悲剧人生，我更愿意觉得是溥仪所存在年代的悲剧时光。,2013-01-31 22:13:59,allstar40 rating,5
禾希食反,看过,溥仪的一生是无奈的一生，他有决心却无环境。片子极其唯美，特别是双飞那段，真心美啊。片子开头跟片尾结束前后呼应，寓意十足。大爱的片子！！！,2011-06-26 21:34:12,allstar50 rating,0
羊羊羊羊咩,看过,80年代末，贝托鲁奇在北京故宫进行的《末代皇帝》的拍摄，对第五代，第六代导演有着里程碑式的影响。陈凯歌客串，宁瀛担任副导演，以及后来冯小刚在《大腕》中致敬。都无疑证明了是贝托鲁奇教授了中国导演如何拍摄大制作年代电影。2018.11.26 R.I.P.,2018-11-26 18:09:05,allstar50 rating,3
大水冲了龙王庙,看过,历史带给我们的究竟是什么。。。,2017-05-17 23:22:32,allstar30 rating,6
